TYPECOM;COM;REG;NCC
COM;01001;84;ABERGEMENT CLEMENCIAT
COM;01002;84;ABERGEMENT DE VAREY
COM;01004;84;AMBERIEU EN BUGEY
COM;01005;84;AMBERIEUX EN DOMBES
COM;01006;84;AMBLEON
COM;01007;84;AMBRONAY
COM;01008;84;AMBUTRIX
COM;01009;84;ANDERT ET CONDON
COM;01010;84;ANGLEFORT
COM;01011;84;APREMONT
COM;01012;84;ARANC
COM;01013;84;ARANDAS
COM;01014;84;ARBENT
COM;01015;84;ARBOYS EN BUGEY
COM;01016;84;ARBIGNY
COM;01017;84;ARGIS
COM;01019;84;ARMIX
COM;01021;84;ARS SUR FORMANS
COM;01022;84;ARTEMARE
COM;01023;84;ASNIERES SUR SAONE
COM;01024;84;ATTIGNAT
COM;01025;84;BAGE DOMMARTIN
COM;01026;84;BAGE LE CHATEL
COM;01027;84;BALAN
COM;01028;84;BANEINS
COM;01029;84;BEAUPONT
COM;01030;84;BEAUREGARD
COM;01031;84;BELLIGNAT
COM;01032;84;BELIGNEUX
COM;01033;84;VALSERHONE
COM;01034;84;BELLEY
COM;01035;84;BELLEYDOUX
COM;01036;84;VALROMEY SUR SERAN
COM;01037;84;BENONCES
COM;01038;84;BENY
COM;01040;84;BEREZIAT
COM;01041;84;BETTANT
COM;01042;84;BEY
COM;01043;84;BEYNOST
COM;01044;84;BILLIAT
COM;01045;84;BIRIEUX
COM;01046;84;BIZIAT
COM;01047;84;BLYES
COM;01049;84;BOISSE
COM;01050;84;BOISSEY
COM;01051;84;BOLOZON
COM;01052;84;BOULIGNEUX
COM;01053;84;BOURG EN BRESSE
COM;01054;84;BOURG SAINT CHRISTOPHE
COM;01056;84;BOYEUX SAINT JEROME
COM;01057;84;BOZ
COM;01058;84;BREGNIER CORDON
COM;01060;84;BRENOD
COM;01061;84;BRENS
COM;01062;84;BRESSOLLES
COM;01063;84;BRION
COM;01064;84;BRIORD
COM;01065;84;BUELLAS
COM;01066;84;BURBANCHE
COM;01067;84;CEIGNES
COM;01068;84;CERDON
COM;01069;84;CERTINES
COM;01071;84;CESSY
COM;01072;84;CEYZERIAT
COM;01073;84;CEYZERIEU
COM;01074;84;CHALAMONT
COM;01075;84;CHALEINS
COM;01076;84;CHALEY
COM;01077;84;CHALLES LA MONTAGNE
COM;01078;84;CHALLEX
COM;01079;84;CHAMPAGNE EN VALROMEY
COM;01080;84;CHAMPDOR CORCELLES
COM;01081;84;CHAMPFROMIER
COM;01082;84;CHANAY
COM;01083;84;CHANEINS
COM;01084;84;CHANOZ CHATENAY
COM;01085;84;CHAPELLE DU CHATELARD
COM;01087;84;CHARIX
COM;01088;84;CHARNOZ SUR AIN
COM;01089;84;CHATEAU GAILLARD
COM;01090;84;CHATENAY
COM;01092;84;CHATILLON LA PALUD
COM;01093;84;CHATILLON SUR CHALARONNE
COM;01094;84;CHAVANNES SUR REYSSOUZE
COM;01095;84;NIVIGNE ET SURAN
COM;01096;84;CHAVEYRIAT
COM;01098;84;CHAZEY BONS
COM;01099;84;CHAZEY SUR AIN
COM;01100;84;CHEIGNIEU LA BALME
COM;01101;84;CHEVILLARD
COM;01102;84;CHEVROUX
COM;01103;84;CHEVRY
COM;01104;84;CHEZERY FORENS
COM;01105;84;CIVRIEUX
COM;01106;84;CIZE
COM;01107;84;CLEYZIEU
COM;01108;84;COLIGNY
COM;01109;84;COLLONGES
COM;01110;84;COLOMIEU
COM;01111;84;CONAND
COM;01112;84;CONDAMINE
